Time (s)	Load (N)	Displacement (mm)
16,365	-7,5	-1,536
16,389	-7	-1,412
16,413	-5,5	-1,292
16,437	-5	-1,172
16,461	-4,5	-1,052
16,485	-4	-0,932
16,509	-3,5	-0,812
16,533	-2,5	-0,692
16,557	-2	-0,572
16,581	-1,5	-0,456
16,605	-1	-0,331
16,629	-0,5	-0,226
16,653	0	-0,158
16,677	0	-0,109
16,701	0,5	-0,074
16,725	0,5	-0,051
16,749	1	-0,036
16,773	1	-0,024
16,797	1	-0,017
16,821	1	-0,012
16,845	1	-0,008
16,869	1,5	-0,005
16,893	1	-0,003
16,917	1	-0,002
16,941	1	-0,002
16,965	1	-0,001
16,989	1	-0,001
17,013	1	0
17,037	1,5	-0,059
17,061	1	-0,196
17,085	1	-0,315
17,109	0,5	-0,441
17,133	0	-0,561
17,157	-1	-0,681
17,181	-1,5	-0,801
17,205	-2	-0,922
17,229	-2,5	-1,036
17,253	-3,5	-1,162
17,277	-4,5	-1,282
17,301	-4,5	-1,402
17,325	-5	-1,522
17,349	-5,5	-1,642
17,373	-6	-1,762
17,397	-7	-1,882
17,421	-7,5	-2,002
17,445	-8	-2,117
17,469	-9	-2,242
17,493	-10	-2,362
17,517	-10,5	-2,477
17,541	-11,5	-2,602
17,565	-12	-2,722
17,589	-13	-2,842
17,613	-14,5	-2,962
17,637	-15	-3,082
17,661	-15	-3,202
17,685	-15	-3,293
17,709	-17	-3,358
17,733	-18	-3,404
17,757	-18,5	-3,434
17,781	-19	-3,454
17,805	-19	-3,468
17,829	-19,5	-3,478
17,853	-19,5	-3,485
17,877	-19,5	-3,49
17,901	-19,5	-3,493
17,925	-19,5	-3,495
17,949	-19,5	-3,496
17,973	-19,5	-3,498
17,997	-19,5	-3,498
18,021	-19,5	-3,499
18,045	-19,5	-3,499
18,069	-19,5	-3,499
18,093	-19,5	-3,5
18,117	-19,5	-3,482
18,141	-19,5	-3,341
18,165	-19,5	-3,215
18,189	-19	-3,099
18,213	-17,5	-2,973
18,237	-16,5	-2,853
18,261	-15,5	-2,733
18,285	-15	-2,613
18,309	-14,5	-2,493
18,333	-13	-2,373
18,357	-12	-2,253
18,381	-11,5	-2,133
18,405	-11,5	-2,013
18,429	-10	-1,898
18,453	-8,5	-1,773
18,477	-8	-1,653
18,501	-7,5	-1,533
18,525	-6,5	-1,413
18,549	-6	-1,293
18,573	-5	-1,173
18,597	-4,5	-1,053
18,621	-3,5	-0,933
18,645	-3	-0,813
18,669	-3	-0,698
18,693	-1,5	-0,578
18,717	-1	-0,453
18,741	-1	-0,338
18,765	-1	-0,227
18,789	0	-0,158
18,813	0	-0,107
18,837	0,5	-0,074
18,861	1	-0,051
18,885	1	-0,036
18,909	1	-0,024
18,933	1	-0,017
18,957	1	-0,012
18,981	1,5	-0,008
19,005	1,5	-0,006
19,029	1	-0,003
19,053	1	-0,002
19,077	1	-0,001
19,101	1	-0,001
19,125	1	-0,001
19,149	1	0
19,173	1	-0,036
19,197	1,5	-0,174
19,221	1	-0,298
19,245	0,5	-0,419
19,269	0	-0,54
19,293	-0,5	-0,66
19,317	-0,5	-0,78
19,341	-2	-0,9
19,365	-2,5	-1,02
19,389	-3	-1,14
19,413	-4	-1,26
19,436	-4,5	-1,38
19,461	-5	-1,5
19,485	-5,5	-1,62
19,509	-6	-1,74
19,533	-7	-1,86
19,558	-7,5	-1,98
19,581	-8	-2,1
19,605	-9	-2,22
19,629	-9,5	-2,34
