Time (s)	Load (N)	Displacement (mm)
22,354	-22,5	-3,122
22,378	-21,68	-3,001
22,402	-20,74	-2,881
22,426	-18,76	-2,761
22,45	-17,86	-2,641
22,474	-16,96	-2,521
22,498	-16,1	-2,4
22,522	-15,22	-2,28
22,546	-13,56	-2,161
22,57	-12,78	-2,041
22,594	-12	-1,921
22,618	-11,26	-1,801
22,642	-10,46	-1,681
22,666	-9,02	-1,56
22,69	-8,32	-1,441
22,714	-7,62	-1,321
22,738	-6,94	-1,201
22,762	-6,28	-1,08
22,786	-4,96	-0,96
22,81	-4,34	-0,841
22,834	-3,72	-0,721
22,858	-3,1	-0,601
22,882	-3,1	-0,481
22,906	-1,32	-0,361
22,93	-0,74	-0,252
22,954	-0,16	-0,168
22,978	0,36	-0,118
23,002	0,82	-0,081
23,026	1,5	-0,056
23,05	1,68	-0,039
23,074	1,82	-0,026
23,098	1,92	-0,018
23,122	1,96	-0,013
23,146	2,02	-0,009
23,17	2,04	-0,006
23,194	2,04	-0,004
23,218	2,04	-0,003
23,242	2,02	-0,002
23,266	2	-0,001
23,29	2	-0,001
23,314	1,98	0
23,338	1,96	-0,027
23,362	1,96	-0,164
23,386	1,74	-0,29
23,41	1,3	-0,411
23,434	0,76	-0,531
23,458	0,04	-0,652
23,482	-0,68	-0,772
23,506	-2,08	-0,892
23,53	-2,72	-1,012
23,554	-3,44	-1,132
23,577	-4,06	-1,252
23,602	-4,7	-1,372
23,626	-6,04	-1,492
23,65	-6,66	-1,612
23,674	-7,3	-1,732
23,698	-7,94	-1,852
23,722	-8,62	-1,972
23,745	-9,96	-2,092
23,77	-10,64	-2,212
23,794	-11,36	-2,332
23,818	-12,06	-2,452
23,842	-12,84	-2,572
23,866	-13,6	-2,692
23,89	-15,16	-2,812
23,914	-15,94	-2,932
23,938	-16,82	-3,052
23,962	-17,66	-3,172
23,986	-19,3	-3,276
24,01	-20,1	-3,346
24,034	-20,1	-3,394
24,058	-21,52	-3,427
24,082	-22	-3,449
24,106	-22,56	-3,465
24,13	-22,72	-3,476
24,154	-22,84	-3,484
24,178	-22,9	-3,489
24,202	-22,94	-3,492
24,226	-22,94	-3,494
24,25	-22,98	-3,496
24,28	-22,96	-3,497
24,304	-22,96	-3,498
24,328	-22,94	-3,499
24,352	-22,9	-3,499
24,376	-22,88	-3,5
24,4	-22,88	-3,498
24,424	-22,88	-3,387
